shipment_id,goods_shipped,goods_shipped_query,hs_code_6_digit,predicted_hs_code,rerank_score,distance,match_rank,top_hs_codes,expected_in_index,is_semantic_outlier,semantic_outlier_reason
ebeea2b58495b06dd61a97fefb7e9b7c8e43faf2f8b186faefbdbaa1f8496e4b,"DO:BUNI-191-24, PEDIDO ALT-9438, DECLARACION 3 DE 4, REGISTRO DE IMPORTACION NO: REG-50053971-20240402N DEL 02/04/2024,",do buni pedido alt declaracion registro importacion no reg n del,71220,80251.0,-11.504874229431152,0.7711245,,"[""080251"", ""080261"", ""090520"", ""080121"", ""090510""]",True,True,hs_code_mismatch
c7216ab3fc8c51e3c140aa7f37bb7d4fa62633c749cc4d355f02bf92661ae5b9,"DO 4821109474 ,Pedido IMP-1762 ,Formato 4 de 10 FACTURA(S)...22100161 07102021IMPORTADOR CON CALIFICACION U.A.P CODI",do pedido imp formato s importador calificacion u a p codi,71220,80840.0,-11.447553634643556,0.75951,,"[""080840"", ""100840"", ""080252"", ""080262"", ""080261""]",True,True,hs_code_mismatch
a85c97aaf29346a3b8722086a83018700a11be88b8aca983764ac4db2987ebf9,"DO:BUNI-173-24, PEDIDO ALT 9555, DECLARACION 2 DE 4, REGISTRO DE IMPORTACION NO: REG-50057279-20240408N DEL 2024-04-08,",do buni pedido alt declaracion registro importacion no reg n del,71220,80251.0,-11.504874229431152,0.7711245,,"[""080251"", ""080261"", ""090520"", ""080121"", ""090510""]",True,True,hs_code_mismatch
ebd10c0ad7d8c46160467ab5959ffe4f76a5abc2213d79f39f6fa5dad17d662a,"CEBOLLA ROJA EN POLVO, S/M, S/M, T33040003, 10 KG X 2 X1 CTN // LOTE:4500129052-038B0123, MF DT:14-04-2023, EXP:14-10-2024, USO: ENSAZONADORES EN POLVO, RED ONION POWDER AIR DRIED, DESHIDRATADO (SECADO) INDUSTRIAL CON AIRE CALIENTE DENTRO DEL HORNO",cebolla roja polvo s m s m t x x ctn lote,71220,100829.0,-11.477188110351562,0.720632,,"[""100829"", ""100840"", ""100860"", ""071350"", ""100821""]",True,True,hs_code_mismatch
845e3a764ad07e37932effccec0c32905dfb37c6de85b9c20372a618ac250912,DO 052021048106 PEDIDO TRAMITE: 124016 DECLARACION(3-14) FACTURA: 888837 FECHA: 2021-10-18 CANT (1560) CAJAS ITEM NUMBER,do pedido tramite declaracion fecha cant cajas number,71220,120923.0,-11.39904499053955,0.7762295,,"[""120923"", ""100840"", ""090111"", ""100821"", ""110813""]",True,True,hs_code_mismatch
9aebf6692cb6d5eaab8bafe6f43ab6531168acd68d5ddb8ddad55a1ac357c52d,"CEBOLLA ESCAMAS GRANDE IRRADIADA, VER-DES, S/M, 1 BOLSA DE PAPEL KRAFT CON POLIETILENO INTERIOR POR 14 KG. NETO, LOTE: 4088083-14,ENVASADO: MARZO 2021,VENCIMIENTO:MARZO 2023, CEBOLLA ESCAMAS GRANDE IRRADIADA, MUESTRAS SIN VALOR COMERCIAL, INSUMOS QUE SERAN UTILIZADOS EN LA FABRICACION DE PRODUCTOS QUE PERTENECEN A LA INDUSTRIA",cebolla escamas grande irradiada ver des s m bolsa papel kraft polietileno,71220,80252.0,-11.372075080871582,0.65872276,,"[""080252"", ""071440"", ""100860"", ""080241"", ""121293""]",True,True,hs_code_mismatch
4545cc6136ed8670f7590e96b83b177fdcaea48c3ebe374ace61e1463035de1e,DO MYK220940 PEDIDO TRAMITE: 2022-05649 DECLARACION(3-5) MERCANCIA NUEVA  VISTO BUENO INVIMA NO: VINVIMA-22-0074094 FE,do myk pedido tramite declaracion mercancia nueva visto bueno invima no vinvima,71220,71440.0,-11.428253173828123,0.7490257,,"[""071440"", ""100840"", ""080111"", ""071350"", ""071410""]",True,True,hs_code_mismatch
d6a26b3ab9a8d1433623f6df3a0262ebc7e6563507ed4c0a4253402409976cb5,"DO MDEMMA133338. Pedido Tramite: BADIA 845597. Declaracion(27-32). MERCANCÍA NUEVA, CODIGO OEA: OE0107 Producto: ESPECIA",do mdemma pedido tramite badia declaracion mercancía nueva codigo oea oe producto,71220,71440.0,-11.41322898864746,0.64515835,,"[""071440"", ""080262"", ""120300"", ""080261"", ""080121""]",True,True,hs_code_mismatch
3649d2d26df448f9cacd71021c26362795bf9bb98a64a73b62c4a6eea4ac342b,"DO 76203949009025. Declaracion(1-1). SAP 4503893021, VINVIMA-20-0070251 DEL: 2020-07-07, C",do declaracion sap vinvima del c,71220,80610.0,-11.3692045211792,0.72444975,,"[""080610"", ""071440"", ""071410"", ""080111"", ""080112""]",True,True,hs_code_mismatch
919002c91b567689e1d3f65eb1a5753ca3ad8e5345a364cdbc34559bb6fd9c62,"DO 02210401224. Declaracion(3-7). PED. # 51325385, ADJUNTAMOS REGISTRO DE IMPORTACION # REG-50067101-20210514N DE FECHA",do declaracion ped adjuntamos registro importacion reg n fecha,71220,100840.0,-11.471248626708984,0.70727396,,"[""100840"", ""080810"", ""081310"", ""080410"", ""090520""]",True,True,hs_code_mismatch
50860392b3af9c846732514ae3443abd646fa3a32c1fe9cdd703ea8a70253c74,"ОВОЧІ СУШЕНІ, ЦІЛІ, НАРІЗАНІ ШМАТКАМИ, СКИБКАМИ, ПОДРІБНЕНІ ЧИ У ВИГЛЯДІ ПОРОШКУ, АЛЕ БЕЗ БУДЬ-ЯКОЇ ПОДАЛЬШОЇ ОБРОБКИ: - ЦИБУЛЯ РІПЧАСТА,DRIED VEGETABLES ,  WHOLE ,  CUT ,  SLICED ,  BROKEN OR IN POWDER ,  BUT NOT FURTHER PREPARED: - ONIONS",овочі сушені цілі нарізані шматками скибками подрібнені чи у вигляді порошку але,71220,71290.0,-4.000067710876465,0.7388478,,"[""071290"", ""081340"", ""071233"", ""081210"", ""071232""]",True,True,hs_code_mismatch
a366bd9789adec0a5ae262b476d219713fba37515d9f27a8aef264f1a235b509,"CEBOLLA DESHIDRATADA EN POLVO, S/M, S/M, LOTE: 240909-0848 // F. FAB: 09/2024 - F. VCTO: 09/2026, EN 394 CARTONES, ONION DEHYDRATED POWDER - INSUMO PARA LA FABRICACIÓN DE SAZONADOR, INSUMO",cebolla deshidratada polvo s m s m lote f fab f vcto,71220,71350.0,-11.25442600250244,0.72692376,,"[""071350"", ""100840"", ""120510"", ""121292"", ""110610""]",True,True,hs_code_mismatch
61735a024213bbdfa54d210344a62c88e40c5d296e04aff865887b0348ff8d3e,DO 01230666. Operador economico: OE0266. Declaracion(3-7). MERCANCIA NUEVA. VISTO BUENO INSTITUTO NACIONAL DE VIGILANCIA,do operador economico oe declaracion mercancia nueva visto bueno instituto nacional vigilancia,71220,81210.0,-11.415746688842772,0.79814595,,"[""081210"", ""071339"", ""081290"", ""071334"", ""080121""]",True,True,hs_code_mismatch
022fe3a67614351a2eb56fbab6887491323765be9ba4b7a224a80b8b59d24a02,"DO 2100445. Pedido Tramite: PILARICA 3386-21. Declaracion(6-11). (CHPC) NOS ACOGEMOS A LA LEY 1669 DE 16/07/2013, AL DEC",do pedido tramite pilarica declaracion chpc nos acogemos a ley al dec,71220,80252.0,-11.239374160766602,0.72722256,,"[""080252"", ""080251"", ""071440"", ""080291"", ""080261""]",True,True,hs_code_mismatch
b16544c628c88dc8afb17bc73e5653b2806b292b782a5bd2894e0aa272129e9a,"DO 222217792 PEDIDO 21876 DECLARACION 3 DE 7 FACTURA(S)  FECHA(S):21876 DE 310320223 CAJA , PRODUCTO:ESPECIAS VAR",do pedido declaracion s fecha s caja producto especias var,71220,120190.0,-10.98309326171875,0.6431695,,"[""120190"", ""120300"", ""081290"", ""120810"", ""080121""]",True,True,hs_code_mismatch
